RespondentID,Support Region,Current Role,Current Role Other,Time with company,Supervisor,Supervise supervisors,Location,Location (Other),Customer service,Technological innovation,Market Leadership,Reliability,Performance,Quality,Global presence,Reputation,Experience in industry,Expertise of people,Breadth and scale of offerings,Speed in delivery,Competitive pricing,Other,Q7. Other,What do you believe is the PRIMARY attribute that differentiates Exterran or makes us better than other companies in the industry?,Have you spoken with an Exterran customer or potential customer in the past 6 months?,Please tell us how strongly you agree or disagree with the following statement: I have the tools I need to talk about Exterran's advantages with customers and potential customers.,Talking points/messages,Print advertising,Video (mobile),PowerPoint Slides,Product brochures,Technical literature,Other,Reasons 1 Code,Reason 1 Translated,Reason 1 Code 1,Reason 1 Code 2,Reason 2 ,Reason 2 Translated,Reason 2 Code 1,Reason 2 Code 2,Reason 3,Reason 3 Translated,Reason 3 Code 1,Reason 3 Code 2,"In your experience, What do customers most frequently tell you is the main reason that they choose Exterran over other providers?",Otherpleasespecify_B,"In your opinion, If a customer does not choose Exterran, what is the main reason they are likely to choose another provider?",Q14 Translated,Q14 Code 1,Q14 Code 2,Q14 Code 3
2091065579,Eastern Hemisphere (EH Region),Field Operations,,6 to 10 years,Yes,Yes,Nigeria,,Customer service,,,,Performance,Quality,Global presence,Reputation,Experience in industry,Expertise of people,,,,,,Technological innovatin,Yes,Strongly Agree,Talking points/messages,Print advertising,Video (mobile),PowerPoint Slides,Product brochures,Technical literature,,of their performance in the industry,,History of excellence,,of customer service,,Customer service focused,,of their technical knowledge/capability and Global presence,,Technical experts,Global support,Quality,,Speed of delivery,,Delivery,,
2007203794,Latin American (LA Region),Field Operations,,1 to 5 years,Yes,No,Bolivia,,,Technological innovation,,Reliability,Performance,Quality,Global presence,Reputation,Experience in industry,Expertise of people,,,,,,Global presence,Yes,Strongly Agree,,Print advertising,,PowerPoint Slides,Product brochures,Technical literature,,of the experience of our people,,Experience/industry knowledge,,of the commitment and dedication,,Always get job done/Reliable,,of the support we offer,,Customer service focused,,Technical competence,,lack of information of what we offer and too high prices,,Unfamiliar with Exterran,,
2009706317,Operations Services Group (OSG),Sales/Business Development,,6 to 10 years,No,,Greenspoint South,,Customer service,,Market Leadership,Reliability,Performance,Quality,Global presence,Reputation,Experience in industry,Expertise of people,Breadth and scale of offerings,Speed in delivery,,,,Market leadership,Yes,Somewhat agree,Talking points/messages,,,,,,,our equipment works as specified,,Better equipment,,of availability of our equipment,,Availability,,of the responsiveness of our field technicians,,Technical experts,,Quality,,"Poor service, problems with invoicing, availability of equipment",,Customer Service,Availability,Billing issues
2007866376,North America (NA Region),Sales/Business Development,,1 to 5 years,No,,Greenspoint South,,,,,,,,Global presence,,Experience in industry,,Breadth and scale of offerings,,,,,Customer service,Yes,Strongly Agree,,,,,Product brochures,Technical literature,,the breadth of our product offerings,,Range of products,,we are a global provider of equipment and services,,Global support,,of the knowledge of our sales staff,,Technical experts,,Breadth of offering,,Price and delivery,,Price,Delivery,
2018525418,Eastern Hemisphere (EH Region),Field Operations,,1 to 5 years,No,,Australia,,,,,,,,,,,Expertise of people,,,,,,Global presence,Yes,Strongly Agree,,,,,,,Training and experience,we care,,Customer service focused,,we have the experience,,Experience/industry knowledge,,of out technical support,,Technical experts,,Experienced workforce,,Reputation,,Reputation,,
2009035343,North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Wray, CO",,Customer service,Technological innovation,Market Leadership,Reliability,Performance,Quality,,Reputation,Experience in industry,Expertise of people,,Speed in delivery,,,,Global presence,Yes,Somewhat agree,Talking points/messages,,,,Product brochures,,,of our product,,Quality,,of our speed of delivery,,Timely delivery,,of our well trained employees,,Well-trained/qualified personnel,,Quality,,pricing,,Price,,
2009495345,North America (NA Region),Fabrication/Shop,,6 to 10 years,Yes,Yes,"Schulenburg, TX",,Customer service,,Market Leadership,Reliability,Performance,Quality,Global presence,Reputation,Experience in industry,Expertise of people,,Speed in delivery,Competitive pricing,,,Technological innovatin,Yes,Somewhat agree,,,Video (mobile),PowerPoint Slides,Product brochures,,,of our quality,,Quality,,of our performance,,Always get job done/Reliable,,of our speedy delivery,,Timely delivery,,Reputation,,I would say it would be the time frame of when they need the product,,Delivery,,
2007308235,North America (NA Region),Engineering,,More than 10 years,No,,"Broken Arrow, OK",,Customer service,,Market Leadership,,,,,Reputation,Experience in industry,,,,,,,Customer service,Yes,Somewhat agree,,,,,Product brochures,,,of our experience,,Experience/industry knowledge,,of our veriaty of offerings,,Range of capabilities,,of our global presense,,Global support,,Experienced workforce,,Price,,Price,,
2007334023,Operations Services Group (OSG),Engineering,,1 to 5 years,No,,"Midland, TX",,Customer service,Technological innovation,,Reliability,Performance,Quality,,Reputation,Experience in industry,Expertise of people,Breadth and scale of offerings,,,,,Market leadership,Yes,Somewhat agree,,Print advertising,,,Product brochures,Technical literature,,of our expertise.,,Experience/industry knowledge,,of our customer service.,,Customer service focused,,of our availability.,,Availability,,Quality,,Better pricing/delivery from competitor.,,Price,Delivery,
2007240520,North America (NA Region),Field Operations,,More than 10 years,No,,"Lakewood, NY",,Customer service,,,,,,,,Experience in industry,,,,,,,Market leadership,Yes,Strongly Agree,,,,,Product brochures,,,of the experienced people,,Experience/industry knowledge,,of the quality service,,Quality,,of our abilty to respond quickly,,Timely delivery,,Service,,price and delivery,,Price,Delivery,
2008302674,North America (NA Region),Field Operations,,1 to 5 years,Yes,Yes,"Sheridan, WY",,Customer service,Technological innovation,Market Leadership,Reliability,Performance,Quality,,Reputation,Experience in industry,Expertise of people,,,,,,Expertise of people,Yes,Somewhat agree,,,,,,Technical literature,,of experience,,Experience/industry knowledge,,of technical expertise,,Technical experts,,of financial strength,,Vast resources,,Experienced workforce,,Project approval process takes too long.,,Other,,
2112219200,Eastern Hemisphere (EH Region),Sales/Business Development,,Less than 1 year,Yes,No,Nigeria,,Customer service,,Market Leadership,Reliability,Performance,Quality,Global presence,,Experience in industry,Expertise of people,,Speed in delivery,,,,Global presence,Yes,Somewhat disagree,,,Video (mobile),PowerPoint Slides,Product brochures,Technical literature,,of Exterran's highly experienced personnel composition,,Experience/industry knowledge,,of Exterran's ability to meet project deadlines,,Meet Customer/Project Specifications,,of Exterran's customer satisfaction agenda,,Customer service focused,,Technical competence,,High Cost of quotation/bids,,Price,,
2008664375,North America (NA Region),Corporate/Office/Administration,QHSE,Less than 1 year,Yes,Yes,Australia,,Customer service,Technological innovation,,Reliability,,,,,Experience in industry,Expertise of people,,Speed in delivery,Competitive pricing,,,Global presence,Yes,Somewhat agree,Talking points/messages,Print advertising,Video (mobile),PowerPoint Slides,Product brochures,Technical literature,,Highly Trained Staff,,Well-trained/qualified personnel,,competitive Costing,,Best Price/Competitive Price,,OEM provider,,Vast resources,,Technical competence,,price,,Price,,
2009293640,Latin American (LA Region),Sales/Business Development,,1 to 5 years,No,,Argentina,,,,,,,,Global presence,Reputation,Experience in industry,Expertise of people,Breadth and scale of offerings,,,,,Experience in industry,Yes,Somewhat agree,,Print advertising,,,,Technical literature,,estructura de campo grande y de mucha experiencia,"A large, experienced field",Experience/industry knowledge,,gran variedad de equipoamiento en stock y con plazos cortos de entrega,A variety of equpment in stock with short delivery,Range of products,Timely delivery,nuevas tecnologías para reducción de OPEX (EWS),new technologies to reduce OPEX (EWS),"Innovative, Adaptive, Technological",,Experienced workforce,,"Plazos, precios","Deadlines, prices",Price,Delivery,
2007214893,Latin American (LA Region),Field Operations,,6 to 10 years,Yes,No,Mexico,,,,,Reliability,,,Global presence,Reputation,,,,,Competitive pricing,,,Performance,Yes,Somewhat agree,Talking points/messages,,Video (mobile),PowerPoint Slides,,,,Tenemos cobertura global,Global coverage,Global support,,Tenemos más experiencia que otros,More experienced than others,Experience/industry knowledge,,Nuestra confiabilidad es mayor al %,Almost 100% reliable,Always get job done/Reliable,,Price,,Un precio más bajo y/o mejores relaciones comerciales con otras compañías,A lower price and / or improved business relationships with other companies,Price,Previous Relationship with Competitor,
2090982636,All regions/functions (executive),Fabrication/Shop,Engine Overhaul Shop,More than 10 years,Yes,No,"Midland, TX",,Customer service,,,,Performance,Quality,,Reputation,Experience in industry,,,Speed in delivery,Competitive pricing,,,Reputation,Yes,Strongly Agree,Talking points/messages,,,PowerPoint Slides,,Technical literature,,When we overhaul an engine we use the best parts,,Use high quality parts,,We take pride on eng overhauls,,Stand Behind Work/Integrity,,No engine will leave my shop till its 100%,,Quality,,Reputation,,Buddys,,Previous Relationship with Competitor,,
2008555395,Operations Services Group (OSG),Fabrication/Shop,,1 to 5 years,Yes,Yes,Singapore,,Customer service,Technological innovation,Market Leadership,,Performance,Quality,Global presence,,Experience in industry,Expertise of people,,Speed in delivery,,,,Speed in delivery,Yes,Strongly Agree,,,,,,Technical literature,,NA,,,,NA,,,,NA,,,,Reputation,,,,,,
2007212097,North America (NA Region),Field Operations,,More than 10 years,Yes,Yes,"Kilgore, TX",,Customer service,,,Reliability,,Quality,,Reputation,,,,,,,,Market leadership,Yes,Strongly Agree,Talking points/messages,,,,Product brochures,Technical literature,,We can support you with all aspects of the field not just compression.,,Range of capabilities,,We have the best resources when it comes to the new emission policies,,Other,,My team cares about you as a customer,,Customer service focused,,Quality,,Pricing,,Price,,
2090701806,North America (NA Region),,HR,6 to 10 years,No,,"Oklahoma City, OK",,Customer service,Technological innovation,,Reliability,,Quality,,,Experience in industry,Expertise of people,,Speed in delivery,Competitive pricing,,,Market leadership,Yes,Strongly Agree,,,Video (mobile),,,Technical literature,,Best Customer Service,Best customer service,Customer service focused,,Best Experience,Best Experience,Experience/industry knowledge,,More quality services,More quality services,Quality,,Quality,,Prices,Prices,Price,,
2018405037,Latin American (LA Region),Sales/Business Development,,More than 10 years,Yes,Yes,Bolivia,,Customer service,,,,,,Global presence,,,,Breadth and scale of offerings,,,,,Market leadership,Yes,Somewhat disagree,Talking points/messages,Print advertising,Video (mobile),,Product brochures,Technical literature,,Tiempo de Entrega,Time of delivery,Timely delivery,,productos especificos,Specialised products,Range of products,,menor riesgo,Lower risk,Always get job done/Reliable,,Speed,,Precio,Price,Price,,
2009516132,Operations Services Group (OSG),Field Operations,,1 to 5 years,No,,Brazil,,,Technological innovation,,,,,Global presence,,Experience in industry,Expertise of people,Breadth and scale of offerings,,Competitive pricing,,,Customer service,Yes,Somewhat disagree,,Print advertising,,,,Technical literature,,Possui experiência no mercado,Have experience in the market,Experience/industry knowledge,,Utiliza produtos de boa qualidade para prestação de serviços,Use good quality products for service,Quality,,Mão de obra especializada,Skilled labor,Well-trained/qualified personnel,,Breadth of offering,,O cliente não conhecer a Exterran e falta de adequação às normas para venda e prestação de serviços no local.,The client does not know the Exterran and lack of suitability standards for sales and service on site.,Unfamiliar with Exterran,,
2007235080,North America (NA Region),Engineering,,6 to 10 years,Yes,No,"Broken Arrow, OK",,Customer service,,,,,,Global presence,,,Expertise of people,,Speed in delivery,Competitive pricing,,,Reliability,Yes,Somewhat agree,,Print advertising,,,,,"I am not in sales, Controls and troublesooting",Excellent Customer support,,Customer service focused,,Product customization,,Range of products,,Manufacturing and Engineering capabilities,,Range of capabilities,,Price,,Poor communications with project management.  Percieved lack of urgency from engineering,,Poor communications,,
2007434422,Eastern Hemisphere (EH Region),Sales/Business Development,,1 to 5 years,No,,UAE,,Customer service,,,,,,,,Experience in industry,,Breadth and scale of offerings,,,,,Market leadership,Yes,Somewhat agree,,Print advertising,,,Product brochures,Technical literature,,quick delivery of standard process packages,,Timely delivery,,available equipment in stock,,Availability,,low price for pre-engineered packages,,Best Price/Competitive Price,,Quality,,"equipment price only. we are very strong from technical point of view. Need to improve business development and relationship management,",,Price,,
2008039198,Latin American (LA Region),Fabrication/Shop,,6 to 10 years,No,,Mexico,,Customer service,,,Reliability,Performance,Quality,,Reputation,Experience in industry,Expertise of people,,Speed in delivery,,,,Experience in industry,Yes,Somewhat agree,,,,,,Technical literature,,tiene experiencia en el mercado,Has market experience,Experience/industry knowledge,,maneja una velocidad de servicio mejor que otros,Manages service faster than others,Timely delivery,,los standadares de calidad cada vez mejora para entrega del producto,Improving quality standards and product delivery,Quality,,Breadth of offering,,"Precio, y las propuestas de desarrollo que se les presenta a los clientes durante los trabajos de licitacion",Price and development proposals that are presented to customers for bidding jobs,Price,Quicker quotes,
2090902808,Latin American (LA Region),Corporate/Office/Administration,,1 to 5 years,Yes,No,Mexico,,Customer service,Technological innovation,Market Leadership,Reliability,,Quality,Global presence,,Experience in industry,Expertise of people,Breadth and scale of offerings,Speed in delivery,,,,Market leadership,Yes,Strongly Agree,,,Video (mobile),PowerPoint Slides,,,,Actitud de Servicio al cliiente,An attitude of client service,Customer service focused,,Personal Capacitado,Trained personnel,Well-trained/qualified personnel,,Lideres en la Region,Leaders in the region,Best,,Quality,,Podria ser el precio,It could be the price,Price,,
2009525409,North America (NA Region),Corporate/Office/Administration,,1 to 5 years,Yes,No,Greenspoint South,,,,Market Leadership,,,,Global presence,,,Expertise of people,,Speed in delivery,,,,Market leadership,Yes,Somewhat agree,Talking points/messages,,,,Product brochures,Technical literature,,speed of delivery,,Timely delivery,,purchasing power allows for pass through discounts,,Other,,leading edge technology in certain areas,,"Innovative, Adaptive, Technological",,Service,,Price,,Price,,
2007212815,North America (NA Region),Corporate/Office/Administration,,6 to 10 years,Yes,No,Greenspoint South,,Customer service,,,,Performance,,,,Experience in industry,Expertise of people,,,Competitive pricing,,,Experience in industry,Yes,Strongly Agree,,,,,Product brochures,,,Service style contracts with tax and insurance advantages,,Customer service focused,,"Large company, ability to troubleshoot and resolve issues",,Large company,,Large fleet available to meet customers needs,,Large inventory/fleet,,Quality,,,,,,
2053640538,North America (NA Region),Field Operations,,6 to 10 years,Yes,No,"Pocola, OK",,,,,,,,Global presence,,Experience in industry,Expertise of people,,,,,,Performance,Yes,Somewhat disagree,,,,,Product brochures,,,Experience,,Experience/industry knowledge,,world wide,,Global support,,large fleet,,Large inventory/fleet,,Quality,,price,,Price,,
2090791403,North America (NA Region),Engineering,,1 to 5 years,No,,"Denver, CO",,Customer service,,,,Performance,Quality,,Reputation,Experience in industry,Expertise of people,,,,,,Customer service,Yes,Somewhat agree,Talking points/messages,,,,,Technical literature,,our broad regional coverage,,Global support,,service excellence,,Customer service focused,,large fleet,,Large inventory/fleet,,Service,,,,,,
2008595849,Latin American (LA Region),Field Operations,,6 to 10 years,No,,Argentina,,Customer service,,,Reliability,,,Global presence,,Experience in industry,Expertise of people,,,Competitive pricing,,,Experience in industry,Yes,Somewhat agree,,Print advertising,Video (mobile),,Product brochures,,,tiene la experiencia necesaria,Has the necessary experience,Experience/industry knowledge,,se acomoda a los requerimientos del cliente,Meets customer requirements,Customer service focused,,la relacion costo beneficio es buena,Good value,Better value,,Quality,,porque otro proveedor baja sus precios para ganar la operacion aunque le signifique poca ganancias.  el principal factor es entrar en el negocio y quedarse con las operaciones de exterran,because another provider will have lower prices and win the job but with little profit they will not stay in business.,Price,,
2090753588,Latin American (LA Region),Field Operations,,6 to 10 years,Yes,Yes,Argentina,,Customer service,,,Reliability,,Quality,,,Experience in industry,Expertise of people,,,,14,El valor agregado que genera el Know How del personal que esta al frente de las oepraciones,Global presence,Yes,Strongly Agree,,Print advertising,Video (mobile),,,,,La confiabilidad lograda por la operación durante los años,Reliability that we have achieved through years of operation,Always get job done/Reliable,,voluntad de servicio / atención,Care about service,Customer service focused,,La mejora continua,Continuous improvement,Other,,Technical competence,,Costos. Diversificación de proveedores,"Costs, Diversivication of suppliers",Price,Want multiple providers,
2029021425,North America (NA Region),Field Operations,,More than 10 years,No,,"Houma, LA",,Customer service,,,Reliability,,Quality,,Reputation,Experience in industry,,,,,,,Global presence,Yes,Somewhat agree,Talking points/messages,Print advertising,,,,Technical literature,,Reliability,,Always get job done/Reliable,,expertise in the field,,Technical experts,,"Knowlege, woldwide if assistance needed",,Experience/industry knowledge,Global support,Technical competence,,"They Think, they are getting a better  Deal. The Customer will be calling soon, to change over to Exterran",,Price,,
2009734172,North America (NA Region),Engineering,,More than 10 years,No,,Houston - Brittmoore,,Customer service,,Market Leadership,,Performance,Quality,Global presence,Reputation,Experience in industry,Expertise of people,,Speed in delivery,Competitive pricing,,,Experience in industry,Yes,Strongly Agree,,,,,,Technical literature,,Experence,,Experience/industry knowledge,,Delivery,,Timely delivery,,Knowledge of equipment,,Well-trained/qualified personnel,,Experienced workforce,,Price  Dwlivery,,Price,Delivery,
2007261162,North America (NA Region),Field Operations,,More than 10 years,No,,"Troy, PA",,Customer service,,,Reliability,Performance,,,,Experience in industry,Expertise of people,,,,,,Market leadership,Yes,Somewhat agree,,,,,,Technical literature,,Our schooling or training,,Well-trained/qualified personnel,,our response time to call out and doing PM  on time,,Timely delivery,,Just checking in with our customer every week,,Customer service focused,,Quality,,price,,Price,,
2007434842,North America (NA Region),Field Operations,,1 to 5 years,No,,"Shreveport, LA",,Customer service,,Market Leadership,Reliability,Performance,Quality,,Reputation,Experience in industry,,,,Competitive pricing,,,Breadth and scale of offerings,Yes,Strongly Agree,Talking points/messages,,Video (mobile),,Product brochures,Technical literature,,units on hand,,Large inventory/fleet,,customer service,,Customer service focused,,job quality,,Quality,,Service,,under pricing,,Price,,
20072713,Latin American (LA Region),Engineering,,1 to 5 years,No,,Greenspoint South,,,,,,Performance,Quality,Global presence,Reputation,Experience in industry,,,,,,,Global presence,Yes,Strongly Agree,,,Video (mobile),,Product brochures,,,it has more expertise,,Experience/industry knowledge,,it has global presence,,Global support,,it is reliable,,Always get job done/Reliable,,Reputation,,price,,Price,,
2007286262,North America (NA Region),Field Operations,,More than 10 years,Yes,Yes,"Dallas, TX",,Customer service,,Market Leadership,Reliability,Performance,,,,Experience in industry,Expertise of people,Breadth and scale of offerings,Speed in delivery,Competitive pricing,,,Competitive pricing,Yes,Strongly Agree,Talking points/messages,,,,,,,Total market reach,,Global support,,Investment in our fleet,,Large inventory/fleet,,"Investment in data management, which we convert to knowledge",,Technical experts,,,"Value, which equals price, speed, service, reputations, safety, etc.",Reduced perception of value from Exterrand and/or lowball pricing.,,Price,,
2007237531,Operations Services Group (OSG),Field Operations,,More than 10 years,Yes,No,"Farmington, NM",,Customer service,Technological innovation,Market Leadership,,Performance,,Global presence,,,Expertise of people,Breadth and scale of offerings,,,,,Market leadership,Yes,Strongly Agree,,,,,Product brochures,,,Versatile,,Range of capabilities,,Dependable,,Always get job done/Reliable,,Intergrity,,Stand Behind Work/Integrity,,Quality,,Not satified with performance of equipment,,Poor previous experience with Exterran,,
20181923,North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Wray, CO",oklahoma,Customer service,Technological innovation,,Reliability,Performance,Quality,,Reputation,,Expertise of people,,,,,,Global presence,Yes,Somewhat agree,,,,,,,exterran dominates compression in our area,my boss,,,,people i work with,,Other,,integrity of our upper mgt in our area,,Stand Behind Work/Integrity,,,arrival time on callouts,delivery time of the equipment,,Delivery,,
2053044456,North America (NA Region),Sales/Business Development,,More than 10 years,No,,"Troy, PA",,Customer service,,,,Performance,Quality,,,Experience in industry,Expertise of people,,,Competitive pricing,,,Market leadership,Yes,Somewhat agree,,,,,,,Training,Service and customer service,,Customer service focused,,Extensive product lines (all encompassing supplier),,Range of products,,Infrastructure,,Other,,Quality,,"Price, delivery, or equipment selection",,Price,Delivery,Better equipment
2007220769,Latin American (LA Region),Field Operations,,More than 10 years,No,,"Bakersfield, CA",,Customer service,Technological innovation,,,Performance,Quality,,,,,,,,,,Experience in industry,Yes,Somewhat agree,,,,,,Technical literature,,We will be there for you when you need us.,,Always get job done/Reliable,,Safety is our number one goal.,,Safety,,"If I don't have an answer for your problem, I'll get one.",,,,Experienced workforce,,They found a lower bid for the job.,,Price,,
2028753602,North America (NA Region),Fabrication/Shop,,6 to 10 years,No,,"Troy, PA",,Customer service,,Market Leadership,Reliability,Performance,Quality,Global presence,,Experience in industry,,Breadth and scale of offerings,,,,,Market leadership,Yes,Somewhat agree,Talking points/messages,,,,,,,we take personal interest in our customers success,,Customer service focused,,we have resources to get it done safely,,Vast resources,,i will make sure that you go home happier than you came out,,Customer service focused,,Quality,,Price,,Price,,
2008730354,North America (NA Region),Sales/Business Development,,6 to 10 years,No,,"Wray, CO",,,,,,,,Global presence,,,,Breadth and scale of offerings,,,,,Customer service,Yes,Strongly Agree,,,,,,Technical literature,,we have a significant spec build program in the PEQ and P&T groups.,,Other,,we have the depth to address any issue that might arise.,,Offers solutions to any problem,,I will always be available in helping address any problem.,,Offers solutions to any problem,,Quality,,Better delivery and better pricing.,,Price,Delivery,
2028782265,North America (NA Region),Sales/Business Development,,Less than 1 year,No,,"Carlsbad, NM",,,Technological innovation,Market Leadership,,Performance,Quality,Global presence,,Experience in industry,Expertise of people,Breadth and scale of offerings,,,,,Global presence,Yes,Somewhat disagree,Talking points/messages,Print advertising,Video (mobile),PowerPoint Slides,Product brochures,Technical literature,,We know the business,,Experience/industry knowledge,,We provide total solutions,,Customer service focused,Quality,I am your advocate,,Other,,Experienced workforce,,Price vs value,,Price,,
2007251709,North America (NA Region),Corporate/Office/Administration,,1 to 5 years,Yes,Yes,"Belle Chasse, LA",,Customer service,Technological innovation,Market Leadership,Reliability,Performance,Quality,Global presence,Reputation,Experience in industry,Expertise of people,Breadth and scale of offerings,Speed in delivery,Competitive pricing,,,Market leadership,Yes,Strongly Agree,Talking points/messages,Print advertising,,,Product brochures,Technical literature,,we have very experienced technicians.,,Well-trained/qualified personnel,,we are the largest in the world.,,Large company,,I am available to you day or night.,,Availability,,Experienced workforce,,PRICE.,,Price,,
2090915136,Eastern Hemisphere (EH Region),Field Operations,,1 to 5 years,Yes,No,Nigeria,,Customer service,Technological innovation,,Reliability,,Quality,,Reputation,Experience in industry,Expertise of people,,Speed in delivery,,,,Market leadership,Yes,Strongly Agree,,,,,,Technical literature,,Quick in responding to customer calls at any time,,Timely delivery,,Apply speed to any task,,Timely delivery,,highly trained personnel (certified),,Well-trained/qualified personnel,,Quality,,price,,Price,,
2064359577,Eastern Hemisphere (EH Region),Engineering,New Project Bidding in Sarawak - Malysia,More than 10 years,No,,Singapore,,Customer service,,,,Performance,Quality,,,Experience in industry,Expertise of people,,,,,,Experience in industry,Yes,Somewhat agree,,,Video (mobile),,,,,"Excellence in QHSE, wards received bby customers",,Safety,,"Excellence in Mechanical Availability ,",,Availability,,High professional skill and commitment,,Well-trained/qualified personnel,Customer service focused,Quality,,Mainly price and in some areas lack of a direct and frequent relationship with customer,,Price,Communication,
20954070,All regions/functions (executive),Field Operations,,1 to 5 years,Yes,No,Thailand,,Customer service,Technological innovation,,Reliability,Performance,Quality,,,Experience in industry,,,,,,,Speed in delivery,Yes,Somewhat agree,Talking points/messages,Print advertising,,PowerPoint Slides,,,,Leader customers service,,Customer service focused,,Leader quality,,Quality,,High performance service,,Customer service focused,,Speed,,Technical competence,,Availability,Poor communications,
2007482569,North America (NA Region),Sales/Business Development,,6 to 10 years,No,,"Kilgore, TX",,Customer service,,Market Leadership,,,,Global presence,,Experience in industry,Expertise of people,Breadth and scale of offerings,,,,,Competitive pricing,Yes,Strongly Agree,Talking points/messages,Print advertising,Video (mobile),PowerPoint Slides,Product brochures,Technical literature,,Ability to stand behind our product,,Stand Behind Work/Integrity,,Technical ability throughout,,Technical experts,,High levels of experience at every level,,Technical experts,,Quality,,"Pricing, technical competence, experienced workforce",,Price,Lack experienced personnel,
20081955,North America (NA Region),Field Operations,,1 to 5 years,Yes,No,"Broussard, LA",,Customer service,,Market Leadership,Reliability,Performance,Quality,Global presence,,Experience in industry,,,,,,,Experience in industry,Yes,Somewhat agree,,Print advertising,,,Product brochures,Technical literature,,Knowdelge of the industry,,Well-trained/qualified personnel,,More than just a compressor company,,Other,,Here from start to finish 24/7,,Availability,,Quality,,Price too high,,Price,,
2007226117,North America (NA Region),Sales/Business Development,,1 to 5 years,No,,"Farmington, NM",,Customer service,,,Reliability,Performance,Quality,,,,Expertise of people,,Speed in delivery,Competitive pricing,,,Market leadership,Yes,Strongly Agree,,Print advertising,,,,,,Trusted relationships,,Trusted,,Making sure orderds are delivered in a timely manner,,Timely delivery,,Helping them to get better makes our company better,,Customer service focused,,Technical competence,,Relationships with other Vendor .,,Previous Relationship with Competitor,,
20072498,Corporate Services Group (CSG),Sales/Business Development,,More than 10 years,No,,Houston - Brittmoore,,Customer service,,,,,,,,Experience in industry,Expertise of people,,Speed in delivery,,,,Reputation,Yes,Somewhat agree,,,Video (mobile),,Product brochures,Technical literature,,Has a good reputation,,Reputation,,Has experience in the industry,,Experience/industry knowledge,,Has qualified people,,Well-trained/qualified personnel,,Service,,,,,,
2007210201,Eastern Hemisphere (EH Region),Engineering,,1 to 5 years,No,,Nigeria,,Customer service,,,Reliability,Performance,Quality,Global presence,,Experience in industry,Expertise of people,,Speed in delivery,,,,Speed in delivery,Yes,Strongly Agree,,,,,Product brochures,Technical literature,,Quality of the job,,Quality,,Speed of delivery,,Timely delivery,,Guaranteed delivery,,Always get job done/Reliable,,Reputation,,Close and personal relationship with the other provider. Discounts offered by the other provider,,Previous Relationship with Competitor,,
2091239646,North America (NA Region),Field Operations,,6 to 10 years,Yes,No,"Kilgore, TX",,Customer service,,,,,,Global presence,,,Expertise of people,,Speed in delivery,,,,Market leadership,Yes,Somewhat agree,Talking points/messages,Print advertising,Video (mobile),PowerPoint Slides,Product brochures,Technical literature,,we have great run time.,,Timely delivery,,great response time.,,Timely delivery,,great resources.,,Vast resources,,Quality,,lower rental rate.,,Price,,
2008500867,North America (NA Region),Field Operations,,1 to 5 years,No,,"Broussard, LA",,Customer service,,,Reliability,Performance,Quality,,Reputation,,Expertise of people,,Speed in delivery,,,,Technological innovatin,Yes,Somewhat agree,Talking points/messages,Print advertising,,,Product brochures,Technical literature,,reliable service,,Always get job done/Reliable,,parts avalibility,,Availability,,great mechanics,,Technical experts,,Technical competence,,cost,,Price,,
2009495448,Corporate Services Group (CSG),Corporate/Office/Administration,,More than 10 years,No,,Houston - Greenspoint North,,Customer service,Technological innovation,Market Leadership,Reliability,Performance,Quality,Global presence,Reputation,Experience in industry,Expertise of people,,Speed in delivery,Competitive pricing,,,Reputation,Yes,Somewhat agree,Talking points/messages,,,,,,,Our sterling reputation,,Reputation,,Delivery upon promises,,Timely delivery,,Great customer service,,Customer service focused,,Reputation,,,,,,
2008749138,Eastern Hemisphere (EH Region),Engineering,,1 to 5 years,Yes,Yes,UAE,,Customer service,,Market Leadership,Reliability,Performance,Quality,Global presence,Reputation,Experience in industry,Expertise of people,,Speed in delivery,Competitive pricing,,,Performance,Yes,Somewhat disagree,Talking points/messages,,Video (mobile),PowerPoint Slides,Product brochures,Technical literature,,Exterran can provide solutions custom built to their requirements,,Offers solutions to any problem,,Application of high safety standards that will meet your requirements,,Safety,,Good after sales support,,Customer service focused,,Speed,,Supply what the client wants rather than supplying what Exterran wants to.  Too much time lost in decision making and discussing T's&C's,,Other,,
2106293566,Eastern Hemisphere (EH Region),Engineering,,1 to 5 years,Yes,No,UAE,,,,Market Leadership,,,,Global presence,,,,,Speed in delivery,,,,Reliability,Yes,Somewhat agree,,,,PowerPoint Slides,Product brochures,,,Speed in delivery to meet schedule,,Timely delivery,,Expertise in that field,,Technical experts,,Global presence,,Global support,,Price,,Price  Quality  Standard updation  Focus on one region,,Price,Quality,Proximity to customer
2017692155,Operations Services Group (OSG),Corporate/Office/Administration,,More than 10 years,Yes,No,Canada,,Customer service,,,,,Quality,Global presence,,,Expertise of people,Breadth and scale of offerings,,Competitive pricing,,,Performance,Yes,Strongly Agree,,Print advertising,,PowerPoint Slides,Product brochures,Technical literature,,we have experienced/knowledgeable people,,Experience/industry knowledge,,competitive pricing,,Best Price/Competitive Price,,global presence,,Global support,,Reputation,,pricing - lower labor rate,,Price,,
