Location role supports,Primary Role,Primary Role (other),Time with company,Supervise one or more person,Supervise other supervisors,Location,Location (Other)
Latin American (LA Region),Field Operations,,6 to 10 years,Yes,Yes,Mexico,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,"Fort Worth, TX",
Corporate Services Group (CSG),Sales/Business Development,,More than 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,Yes,Yes,"Belle Chasse, LA",
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,"Fort Worth, TX",
Operations Services Group (OSG),Engineering,,More than 10 years,No,,Houston - Brittmoore,
Latin American (LA Region),Corporate/Office/Administration,,6 to 10 years,No,,Mexico,
North America (NA Region),Field Operations,,6 to 10 years,No,,"Fort Worth, TX",
Corporate Services Group (CSG),Corporate/Office/Administration,,Less than 1 year,No,,Houston - Greenspoint North,
Operations Services Group (OSG),Corporate/Office/Administration,,1 to 5 years,Yes,No,Houston - Greenspoint North,
Operations Services Group (OSG),Corporate/Office/Administration,,1 to 5 years,Yes,Yes,Houston - Brittmoore,
North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Brenham, TX",
North America (NA Region),Fabrication/Shop,,More than 10 years,Yes,No,Houston - Brittmoore,
North America (NA Region),Corporate/Office/Administration,,Less than 1 year,No,,Houston - Greenspoint North,
North America (NA Region),Fabrication/Shop,,6 to 10 years,No,,"Broken Arrow, OK",
North America (NA Region),Sales/Business Development,partsman,Less than 1 year,No,,Canada,
North America (NA Region),Engineering,,6 to 10 years,Yes,,"Broken Arrow, OK",
Latin American (LA Region),,HSE,6 to 10 years,Yes,Yes,Mexico,
North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Broussard, LA",
North America (NA Region),Corporate/Office/Administration,BT IT,1 to 5 years,No,,Canada,
North America (NA Region),Field Operations,,More than 10 years,No,,"Troy, PA",
North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Houma, LA",
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Corpus Christi, TX",
Corporate Services Group (CSG),Corporate/Office/Administration,,6 to 10 years,No,,"Broken Arrow, OK",
North America (NA Region),Engineering,,1 to 5 years,No,,"Broken Arrow, OK",
North America (NA Region),Fabrication/Shop,I/E AND SHOP,1 to 5 years,Yes,No,"Broussard, LA",
North America (NA Region),Corporate/Office/Administration,accounting,1 to 5 years,No,,Houston - Greenspoint North,
Eastern Hemisphere (EH Region),Field Operations,,6 to 10 years,No,,Nigeria,
North America (NA Region),Corporate/Office/Administration,,6 to 10 years,Yes,No,Houston - Greenspoint North,
North America (NA Region),Engineering,,1 to 5 years,Yes,No,Houston - Brittmoore,
North America (NA Region),Sales/Business Development,,More than 10 years,No,,"Wray, CO",
North America (NA Region),Engineering,,1 to 5 years,No,,Houston - Brittmoore,
North America (NA Region),Corporate/Office/Administration,,More than 10 years,Yes,No,"Broussard, LA",
Corporate Services Group (CSG),Corporate/Office/Administration,,More than 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,"Broken Arrow, OK",
North America (NA Region),Fabrication/Shop,,1 to 5 years,No,,,
All regions/functions (executive),Corporate/Office/Administration,,More than 10 years,No,,Houston - Greenspoint North,
All regions/functions (executive),Corporate/Office/Administration,Credit and Collections,1 to 5 years,Yes,Yes,Houston - Greenspoint North,
North America (NA Region),Fabrication/Shop,,More than 10 years,No,,"Columbus, TX",
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
Operations Services Group (OSG),Field Operations,,More than 10 years,Yes,No,Gabon,
Latin American (LA Region),Field Operations,,More than 10 years,Yes,No,Brazil,
Eastern Hemisphere (EH Region),Field Operations,,1 to 5 years,Yes,No,Nigeria,
Operations Services Group (OSG),Field Operations,,More than 10 years,No,,"Midland, TX",
North America (NA Region),Corporate/Office/Administration,,More than 10 years,No,,"Pampa, TX",
North America (NA Region),Sales/Business Development,,1 to 5 years,Yes,No,Greenspoint South,
North America (NA Region),Engineering,,6 to 10 years,No,,"Broken Arrow, OK",
All regions/functions (executive),Corporate/Office/Administration,,Less than 1 year,No,,Houston - Brittmoore,
North America (NA Region),Field Operations,,More than 10 years,Yes,Yes,"Dallas, TX",
Corporate Services Group (CSG),Corporate/Office/Administration,,6 to 10 years,Yes,No,Houston - Greenspoint North,
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,Yes,No,Greenspoint South,
North America (NA Region),Corporate/Office/Administration,,More than 10 years,No,,"Broken Arrow, OK",
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,No,,Greenspoint South,
North America (NA Region),Corporate/Office/Administration,,More than 10 years,No,,"Davis, Ok",
Latin American (LA Region),,"Sistemas de GestÜo da Qualidade, SaÏde e Segurança e Meio Ambiente",1 to 5 years,Yes,No,Brazil,
North America (NA Region),Field Operations,SUPPLY CHAIN,6 to 10 years,Yes,No,"Kilgore, TX",
North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Gaylord, MI",
North America (NA Region),Sales/Business Development,,1 to 5 years,No,,"Victoria, TX",
Operations Services Group (OSG),Corporate/Office/Administration,,More than 10 years,Yes,No,Houston - NHR,
Corporate Services Group (CSG),Corporate/Office/Administration,,6 to 10 years,Yes,Yes,Houston - Greenspoint North,
North America (NA Region),Field Operations,,1 to 5 years,No,,"Zapata, TX","Schultz, WV"
Operations Services Group (OSG),Engineering,,6 to 10 years,No,,"Broken Arrow, OK",
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
North America (NA Region),Fabrication/Shop,,Less than 1 year,Yes,Yes,"Columbus, TX",
All regions/functions (executive),Corporate/Office/Administration,,Less than 1 year,No,,Houston - Greenspoint North,
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,Yes,No,Houston - Greenspoint North,
Operations Services Group (OSG),Corporate/Office/Administration,Engineering Tech,6 to 10 years,No,,"Broken Arrow, OK",
North America (NA Region),Engineering,,More than 10 years,No,,"Broken Arrow, OK",
North America (NA Region),Corporate/Office/Administration,"Corporate - Support for Ops, MR Shops, Engineering and Sales",More than 10 years,Yes,No,"Wray, CO",
Latin American (LA Region),,Gerenciamento de Projetos,1 to 5 years,Yes,No,Brazil,
North America (NA Region),Engineering,,More than 10 years,Yes,No,"Broken Arrow, OK",
Operations Services Group (OSG),Corporate/Office/Administration,,1 to 5 years,Yes,No,Houston - Brittmoore,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Brittmoore,
Operations Services Group (OSG),Corporate/Office/Administration,HSE,Less than 1 year,Yes,No,Greenspoint South,
North America (NA Region),Engineering,,1 to 5 years,No,,"Broken Arrow, OK",
North America (NA Region),Field Operations,,6 to 10 years,Yes,No,"Kilgore, TX",
North America (NA Region),Sales/Business Development,,1 to 5 years,No,,Greenspoint South,
Operations Services Group (OSG),Engineering,,More than 10 years,Yes,No,Houston - Brittmoore,
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
North America (NA Region),Fabrication/Shop,,1 to 5 years,No,,Houston - Brittmoore,
North America (NA Region),Field Operations,,More than 10 years,Yes,Yes,"Oak Hill, WV",
All regions/functions (executive),Corporate/Office/Administration,,More than 10 years,Yes,Yes,Houston - Greenspoint North,
Corporate Services Group (CSG),Corporate/Office/Administration,accounts payable,More than 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Corporate/Office/Administration,,6 to 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Sales/Business Development,,1 to 5 years,No,,"Broussard, LA",
North America (NA Region),Engineering,,1 to 5 years,No,,Greenspoint South,
North America (NA Region),Corporate/Office/Administration,buyer,1 to 5 years,No,,"Midland, TX",
Eastern Hemisphere (EH Region),Field Operations,,1 to 5 years,Yes,No,Nigeria,
North America (NA Region),Corporate/Office/Administration,Supply Chain,More than 10 years,No,,Houston - Brittmoore,
All regions/functions (executive),Corporate/Office/Administration,Trace Control,1 to 5 years,No,,Houston - Brittmoore,
Operations Services Group (OSG),Engineering,,1 to 5 years,No,,"Midland, TX",
North America (NA Region),Fabrication/Shop,idle fleet,More than 10 years,Yes,No,"Mineral Wells, TX",
Corporate Services Group (CSG),Corporate/Office/Administration,,6 to 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,Yes,No,Houston - Greenspoint North,
Latin American (LA Region),Engineering,,Less than 1 year,Yes,No,Brazil,
North America (NA Region),Sales/Business Development,,More than 10 years,No,,"Broussard, LA",
North America (NA Region),Field Operations,,6 to 10 years,No,,"Farmington, NM",
North America (NA Region),Field Operations,Supply Chain,6 to 10 years,Yes,No,"Bakersfield, CA",
Corporate Services Group (CSG),Corporate/Office/Administration,,6 to 10 years,No,,Houston - Greenspoint North,
All regions/functions (executive),Corporate/Office/Administration,Supply Chain,1 to 5 years,No,,Houston - Brittmoore,
Eastern Hemisphere (EH Region),Field Operations,,1 to 5 years,Yes,Yes,Gabon,
North America (NA Region),Field Operations,,More than 10 years,Yes,Yes,"Dallas, TX",
North America (NA Region),Engineering,,6 to 10 years,No,,,
North America (NA Region),Fabrication/Shop,,1 to 5 years,No,,"Wray, CO",
North America (NA Region),Corporate/Office/Administration,,Less than 1 year,Yes,No,Greenspoint South,
Latin American (LA Region),Field Operations,,More than 10 years,Yes,No,Argentina,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,"Houma, LA",
Latin American (LA Region),Field Operations,,1 to 5 years,No,,Brazil,
Operations Services Group (OSG),Field Operations,,Less than 1 year,Yes,No,Brazil,
Eastern Hemisphere (EH Region),Field Operations,,1 to 5 years,Yes,Yes,Oman,
North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Wray, CO",
Latin American (LA Region),Corporate/Office/Administration,,1 to 5 years,No,,Brazil,
North America (NA Region),Sales/Business Development,,6 to 10 years,No,,"Farmington, NM",
Latin American (LA Region),Field Operations,,More than 10 years,Yes,Yes,Brazil,
All regions/functions (executive),Corporate/Office/Administration,,Less than 1 year,Yes,Yes,Houston - Greenspoint North,
Latin American (LA Region),Field Operations,,6 to 10 years,Yes,Yes,"Zapata, TX",Latin America
Latin American (LA Region),Corporate/Office/Administration,,6 to 10 years,No,,Brazil,
North America (NA Region),Fabrication/Shop,,More than 10 years,Yes,No,"Davis, Ok",
North America (NA Region),Engineering,,More than 10 years,Yes,No,Canada,
Eastern Hemisphere (EH Region),Sales/Business Development,,6 to 10 years,No,,Switzerland,
Operations Services Group (OSG),Field Operations,HSE,More than 10 years,No,,Greenspoint South,
All regions/functions (executive),Corporate/Office/Administration,,Less than 1 year,Yes,No,Houston - Greenspoint North,
North America (NA Region),Corporate/Office/Administration,Western operations support,6 to 10 years,No,,"Farmington, NM",
Latin American (LA Region),Field Operations,,6 to 10 years,No,,Brazil,
Latin American (LA Region),Corporate/Office/Administration,,More than 10 years,No,,Argentina,Comodoro Rivadavia
Operations Services Group (OSG),Corporate/Office/Administration,Supply Chain,Less than 1 year,No,,Houston - Brittmoore,
All regions/functions (executive),Sales/Business Development,,6 to 10 years,No,,Houston - Greenspoint North,
Latin American (LA Region),Field Operations,,More than 10 years,Yes,Yes,Argentina,
North America (NA Region),Field Operations,,1 to 5 years,No,,"Fort Worth, TX",
Latin American (LA Region),Field Operations,,6 to 10 years,No,,Brazil,
Eastern Hemisphere (EH Region),Sales/Business Development,,Less than 1 year,No,,"Zapata, TX","Erbil, Iraq"
Operations Services Group (OSG),Engineering,,1 to 5 years,No,,Houston - Brittmoore,
All regions/functions (executive),Corporate/Office/Administration,,1 to 5 years,Yes,Yes,Houston - Greenspoint North,
Operations Services Group (OSG),Engineering,,1 to 5 years,Yes,No,Greenspoint South,
Eastern Hemisphere (EH Region),Sales/Business Development,,1 to 5 years,No,,UAE,
North America (NA Region),Field Operations,,1 to 5 years,No,,"Shreveport, LA",
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Wray, CO",
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,"Columbus, TX",
Latin American (LA Region),Field Operations,,6 to 10 years,Yes,Yes,Argentina,
North America (NA Region),Field Operations,,More than 10 years,No,,,
Operations Services Group (OSG),Corporate/Office/Administration,,More than 10 years,No,,"Broussard, LA",
Operations Services Group (OSG),,Supply Chain,More than 10 years,Yes,No,Argentina,
Latin American (LA Region),Field Operations,QHSE,1 to 5 years,Yes,No,Bolivia,
North America (NA Region),Field Operations,Emissions Testing,Less than 1 year,No,,"Fort Worth, TX",
All regions/functions (executive),Corporate/Office/Administration,,More than 10 years,Yes,No,Houston - Greenspoint North,
Operations Services Group (OSG),Field Operations,,6 to 10 years,No,,Argentina,
North America (NA Region),Fabrication/Shop,,More than 10 years,Yes,Yes,"Fort Worth, TX",
North America (NA Region),Fabrication/Shop,Idle fleet,More than 10 years,Yes,No,"Midland, TX",
North America (NA Region),Field Operations,,More than 10 years,No,,Greenspoint South,
North America (NA Region),Fabrication/Shop,,More than 10 years,Yes,No,"Columbus, TX",
Latin American (LA Region),Field Operations,,More than 10 years,Yes,Yes,Bolivia,
North America (NA Region),Field Operations,,Less than 1 year,No,,"Broken Arrow, OK",
North America (NA Region),Corporate/Office/Administration,,Less than 1 year,No,,Houston - Greenspoint North,
Operations Services Group (OSG),Engineering,,More than 10 years,Yes,No,Houston - Brittmoore,
Eastern Hemisphere (EH Region),Field Operations,,1 to 5 years,No,,Oman,
North America (NA Region),Field Operations,,1 to 5 years,Yes,No,Mexico,
North America (NA Region),Field Operations,,6 to 10 years,Yes,Yes,"Midland, TX",
North America (NA Region),Field Operations,,More than 10 years,No,,"Columbus, TX",
North America (NA Region),Engineering,,6 to 10 years,Yes,No,"Davis, Ok",
North America (NA Region),Sales/Business Development,,6 to 10 years,No,,"Kilgore, TX",
Latin American (LA Region),Engineering,Mantenimiento Predictivo,6 to 10 years,No,,Argentina,
Latin American (LA Region),Corporate/Office/Administration,,6 to 10 years,No,,Argentina,
North America (NA Region),Engineering,,6 to 10 years,No,,Canada,
Eastern Hemisphere (EH Region),Field Operations,,More than 10 years,Yes,Yes,Egypt,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,Canada,
Latin American (LA Region),Corporate/Office/Administration,,Less than 1 year,No,,Brazil,
Latin American (LA Region),Engineering,,1 to 5 years,Yes,No,Brazil,
Latin American (LA Region),Field Operations,,6 to 10 years,Yes,Yes,Mexico,
North America (NA Region),Fabrication/Shop,MR shop mgt.,More than 10 years,Yes,Yes,"Troy, PA",
Corporate Services Group (CSG),Corporate/Office/Administration,,More than 10 years,Yes,Yes,Houston - Greenspoint North,
Latin American (LA Region),Engineering,,Less than 1 year,No,,Bolivia,
North America (NA Region),Sales/Business Development,,More than 10 years,No,,"Midland, TX",
Latin American (LA Region),Field Operations,,1 to 5 years,No,,Argentina,
Operations Services Group (OSG),Corporate/Office/Administration,,1 to 5 years,Yes,Yes,Houston - Greenspoint North,
North America (NA Region),Field Operations,,More than 10 years,Yes,Yes,"Brenham, TX",
North America (NA Region),Corporate/Office/Administration,,Less than 1 year,No,,Houston - Brittmoore,
Latin American (LA Region),Engineering,,6 to 10 years,No,,Argentina,
North America (NA Region),Sales/Business Development,,1 to 5 years,Yes,No,Greenspoint South,
Latin American (LA Region),Corporate/Office/Administration,,6 to 10 years,No,,,
Operations Services Group (OSG),Corporate/Office/Administration,,1 to 5 years,No,,"Kilgore, TX",
Latin American (LA Region),Field Operations,,1 to 5 years,Yes,No,Colombia,
North America (NA Region),Engineering,,1 to 5 years,No,,"Broken Arrow, OK",
North America (NA Region),Fabrication/Shop,,More than 10 years,Yes,No,"Belle Chasse, LA",
North America (NA Region),Sales/Business Development,,1 to 5 years,No,,Greenspoint South,
Eastern Hemisphere (EH Region),Field Operations,,6 to 10 years,Yes,No,Pakistan,
North America (NA Region),Engineering,,Less than 1 year,No,,Houston - Brittmoore,
Latin American (LA Region),Corporate/Office/Administration,,1 to 5 years,No,,Brazil,
Corporate Services Group (CSG),Field Operations,,6 to 10 years,No,,Houston - Greenspoint North,
Eastern Hemisphere (EH Region),Field Operations,,6 to 10 years,Yes,No,Nigeria,
North America (NA Region),Field Operations,,More than 10 years,No,,"Gaylord, MI",
North America (NA Region),Corporate/Office/Administration,,More than 10 years,Yes,Yes,Houston - Greenspoint North,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,Yes,Yes,Houston - Greenspoint North,
North America (NA Region),Engineering,,More than 10 years,No,,Houston - Brittmoore,
Latin American (LA Region),Corporate/Office/Administration,,Less than 1 year,No,,Argentina,
Latin American (LA Region),Field Operations,,1 to 5 years,Yes,Yes,Colombia,
North America (NA Region),Field Operations,,More than 10 years,No,,"Columbia, MS",
North America (NA Region),Corporate/Office/Administration,,Less than 1 year,No,,"Victoria, TX",
Latin American (LA Region),,RRHH,6 to 10 years,No,,Argentina,
North America (NA Region),Fabrication/Shop,,More than 10 years,No,,"Schulenburg, TX",
Latin American (LA Region),Corporate/Office/Administration,,1 to 5 years,No,,Greenspoint South,
North America (NA Region),Fabrication/Shop,Shipping,Less than 1 year,No,,"Columbus, TX",
Latin American (LA Region),Field Operations,,6 to 10 years,No,,Bolivia,
Latin American (LA Region),Fabrication/Shop,,6 to 10 years,No,,Mexico,
Latin American (LA Region),Sales/Business Development,,1 to 5 years,No,,Brazil,
North America (NA Region),Corporate/Office/Administration,,Less than 1 year,No,,Greenspoint South,
Eastern Hemisphere (EH Region),Field Operations,,1 to 5 years,Yes,Yes,Gabon,
Latin American (LA Region),Corporate/Office/Administration,,More than 10 years,No,,Argentina,
Operations Services Group (OSG),Corporate/Office/Administration,,Less than 1 year,No,,Houston - Brittmoore,
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
Latin American (LA Region),Field Operations,,1 to 5 years,No,,Colombia,
Operations Services Group (OSG),Field Operations,,More than 10 years,Yes,No,"Pocola, OK",
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,"Broken Arrow, OK",
Latin American (LA Region),Field Operations,,More than 10 years,No,,Argentina,
North America (NA Region),Corporate/Office/Administration,,6 to 10 years,Yes,No,"Farmington, NM",
Latin American (LA Region),Field Operations,,1 to 5 years,Yes,No,Colombia,
North America (NA Region),Fabrication/Shop,,More than 10 years,Yes,No,"Broken Arrow, OK",
North America (NA Region),Fabrication/Shop,WAREHOUSE,1 to 5 years,No,,Houston - NHR,
North America (NA Region),Field Operations,,More than 10 years,Yes,Yes,"Farmington, NM",
Eastern Hemisphere (EH Region),Field Operations,,6 to 10 years,Yes,Yes,Pakistan,
Operations Services Group (OSG),Field Operations,,6 to 10 years,No,,Brazil,
Latin American (LA Region),Corporate/Office/Administration,,1 to 5 years,Yes,Yes,Brazil,
Corporate Services Group (CSG),Corporate/Office/Administration,,More than 10 years,Yes,No,Houston - Greenspoint North,
North America (NA Region),Field Operations,,6 to 10 years,Yes,Yes,"Gaylord, MI",
Operations Services Group (OSG),Corporate/Office/Administration,,More than 10 years,Yes,No,"Broken Arrow, OK",
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
Operations Services Group (OSG),Corporate/Office/Administration,,1 to 5 years,Yes,Yes,"Broken Arrow, OK",
Latin American (LA Region),Field Operations,,6 to 10 years,No,,Argentina,
North America (NA Region),Fabrication/Shop,,More than 10 years,Yes,Yes,"Farmington, NM",
Latin American (LA Region),,Compras internas,More than 10 years,No,,Bolivia,
North America (NA Region),Engineering,,Less than 1 year,No,,"Broken Arrow, OK",
North America (NA Region),Field Operations,,6 to 10 years,Yes,No,"McAllen, TX",
North America (NA Region),Engineering,,6 to 10 years,No,,Houston - Brittmoore,
All regions/functions (executive),Corporate/Office/Administration,,1 to 5 years,No,,Greenspoint South,
North America (NA Region),Fabrication/Shop,,1 to 5 years,No,,"Broken Arrow, OK",
North America (NA Region),Field Operations,,6 to 10 years,No,,"Jasper, TX",
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
Operations Services Group (OSG),Field Operations,,1 to 5 years,No,,Brazil,Caraguatatuba - SP
Eastern Hemisphere (EH Region),Corporate/Office/Administration,,Less than 1 year,No,,Australia,
Latin American (LA Region),Field Operations,,1 to 5 years,Yes,Yes,Argentina,
North America (NA Region),Sales/Business Development,,Less than 1 year,No,,"Denver, CO",
North America (NA Region),Field Operations,,1 to 5 years,Yes,Yes,"Fort Worth, TX",
Eastern Hemisphere (EH Region),Field Operations,,1 to 5 years,Yes,No,Australia,
North America (NA Region),Field Operations,,More than 10 years,No,,"Bakersfield, CA",
North America (NA Region),Field Operations,,1 to 5 years,Yes,Yes,"Sheridan, WY",
Corporate Services Group (CSG),Corporate/Office/Administration,,More than 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Field Operations,,Less than 1 year,No,,"Lakewood, NY",
North America (NA Region),Fabrication/Shop,,More than 10 years,No,,Houston - NHR,
Eastern Hemisphere (EH Region),Field Operations,,1 to 5 years,Yes,No,Australia,
Latin American (LA Region),Field Operations,,1 to 5 years,Yes,No,Mexico,
North America (NA Region),Field Operations,,Less than 1 year,No,,"Summerfield, OH",
Eastern Hemisphere (EH Region),Field Operations,,6 to 10 years,Yes,Yes,Indonesia,
Eastern Hemisphere (EH Region),Field Operations,,1 to 5 years,Yes,No,Australia,
Latin American (LA Region),Field Operations,,1 to 5 years,Yes,No,Mexico,
Eastern Hemisphere (EH Region),Corporate/Office/Administration,,Less than 1 year,Yes,Yes,Australia,
Operations Services Group (OSG),Corporate/Office/Administration,,More than 10 years,Yes,Yes,Greenspoint South,
Eastern Hemisphere (EH Region),Field Operations,,1 to 5 years,Yes,No,Nigeria,
Eastern Hemisphere (EH Region),Sales/Business Development,,1 to 5 years,Yes,No,Australia,
Eastern Hemisphere (EH Region),Field Operations,,1 to 5 years,No,,Pakistan,
North America (NA Region),Field Operations,,1 to 5 years,No,,"Corpus Christi, TX",
Eastern Hemisphere (EH Region),Sales/Business Development,,1 to 5 years,No,,Australia,
North America (NA Region),Field Operations,,More than 10 years,No,,"Brookwood, AL",
Latin American (LA Region),Sales/Business Development,,More than 10 years,Yes,,,
North America (NA Region),Sales/Business Development,,More than 10 years,No,,"Evanston, WY",
Operations Services Group (OSG),Field Operations,,Less than 1 year,No,,Australia,Western Australia
Latin American (LA Region),Fabrication/Shop,,6 to 10 years,Yes,No,Peru,
Operations Services Group (OSG),Corporate/Office/Administration,Supply Chain,1 to 5 years,Yes,No,Houston - Brittmoore,
North America (NA Region),Field Operations,,More than 10 years,No,,"Roosevelt, UT",
North America (NA Region),Field Operations,,1 to 5 years,No,,"Broussard, LA",
Operations Services Group (OSG),Fabrication/Shop,,1 to 5 years,Yes,No,Singapore,
Eastern Hemisphere (EH Region),Engineering,,Less than 1 year,Yes,No,Singapore,
North America (NA Region),Field Operations,,1 to 5 years,No,,"Pampa, TX",
Eastern Hemisphere (EH Region),Fabrication/Shop,,More than 10 years,Yes,Yes,Singapore,
Latin American (LA Region),Engineering,"Proyectos,  operaciones  en  campo  e  Ingenieria",1 to 5 years,Yes,Yes,Mexico,
North America (NA Region),Field Operations,,6 to 10 years,No,,"Broussard, LA",
Latin American (LA Region),Field Operations,,1 to 5 years,No,,Brazil,
North America (NA Region),Field Operations,,6 to 10 years,No,,"Corpus Christi, TX",
North America (NA Region),Field Operations,,More than 10 years,No,,"Indiana, PA",
North America (NA Region),Field Operations,,1 to 5 years,No,,,
Eastern Hemisphere (EH Region),Field Operations,,6 to 10 years,Yes,No,Indonesia,
Eastern Hemisphere (EH Region),Corporate/Office/Administration,,1 to 5 years,No,,Indonesia,
North America (NA Region),Field Operations,,More than 10 years,No,,"Houma, LA",
North America (NA Region),Field Operations,,1 to 5 years,No,,"Pocola, OK",
Eastern Hemisphere (EH Region),Engineering,,1 to 5 years,No,,Australia,
Operations Services Group (OSG),Corporate/Office/Administration,,6 to 10 years,No,,Singapore,
Eastern Hemisphere (EH Region),Engineering,,More than 10 years,Yes,No,Singapore,
Operations Services Group (OSG),Fabrication/Shop,,1 to 5 years,Yes,Yes,Singapore,
Latin American (LA Region),Field Operations,,More than 10 years,Yes,No,Brazil,
Eastern Hemisphere (EH Region),Corporate/Office/Administration,,More than 10 years,No,,Thailand,
North America (NA Region),Field Operations,,6 to 10 years,No,,"Broussard, LA",
North America (NA Region),Field Operations,,More than 10 years,Yes,Yes,"Lakewood, NY",
North America (NA Region),Field Operations,,Less than 1 year,No,,"Rifle, CO",
Latin American (LA Region),Field Operations,,6 to 10 years,No,,Argentina,
Operations Services Group (OSG),,Team de mantenimiento,6 to 10 years,No,,Peru,
North America (NA Region),Field Operations,,Less than 1 year,No,,"Liberty, TX",
North America (NA Region),Field Operations,,More than 10 years,No,,"Brenham, TX",
Eastern Hemisphere (EH Region),Corporate/Office/Administration,,More than 10 years,Yes,Yes,Thailand,
North America (NA Region),Field Operations,,1 to 5 years,No,,"Bridgeport, TX",
North America (NA Region),Field Operations,,6 to 10 years,No,,"Zapata, TX",Jennings LA
Eastern Hemisphere (EH Region),Field Operations,,Less than 1 year,No,,Australia,"Perth, Western Australia"
North America (NA Region),Field Operations,,Less than 1 year,No,,"Zapata, TX","Elk City, Ok"
Latin American (LA Region),Field Operations,,More than 10 years,No,,Argentina,
Latin American (LA Region),Field Operations,,6 to 10 years,Yes,Yes,Mexico,
North America (NA Region),Field Operations,Tec. Operador y mantenedor,1 to 5 years,No,,Peru,
North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Wray, CO",
Eastern Hemisphere (EH Region),Corporate/Office/Administration,,6 to 10 years,Yes,No,Indonesia,
Operations Services Group (OSG),Fabrication/Shop,,Less than 1 year,No,,Thailand,
North America (NA Region),Corporate/Office/Administration,QHSE,Less than 1 year,Yes,Yes,Australia,
Operations Services Group (OSG),Field Operations,,1 to 5 years,No,,Brazil,
North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Arcadia, LA",
North America (NA Region),Field Operations,,6 to 10 years,Yes,No,"Pampa, TX",
North America (NA Region),Field Operations,,More than 10 years,No,,"Wray, CO",
Eastern Hemisphere (EH Region),Fabrication/Shop,,6 to 10 years,Yes,,,
North America (NA Region),Field Operations,,More than 10 years,No,,"Wray, CO",
Eastern Hemisphere (EH Region),Fabrication/Shop,,1 to 5 years,Yes,Yes,UAE,
Latin American (LA Region),Field Operations,,6 to 10 years,Yes,Yes,Mexico,
Eastern Hemisphere (EH Region),Corporate/Office/Administration,,More than 10 years,Yes,Yes,Thailand,
Eastern Hemisphere (EH Region),Sales/Business Development,,More than 10 years,No,,UAE,
Eastern Hemisphere (EH Region),Field Operations,,6 to 10 years,Yes,No,"Zapata, TX",Bahrain
Eastern Hemisphere (EH Region),Engineering,,1 to 5 years,No,,UAE,
North America (NA Region),Sales/Business Development,,6 to 10 years,No,,"Wray, CO",
Eastern Hemisphere (EH Region),Corporate/Office/Administration,Global Planning,Less than 1 year,Yes,Yes,UAE,
Eastern Hemisphere (EH Region),Sales/Business Development,"also, ESSLP projects support on procurement",1 to 5 years,Yes,No,Kazakhstan,Almaty
Eastern Hemisphere (EH Region),Fabrication/Shop,,1 to 5 years,Yes,Yes,UAE,
North America (NA Region),Field Operations,,Less than 1 year,No,,"Bakersfield, CA",
Eastern Hemisphere (EH Region),Corporate/Office/Administration,Project Management,1 to 5 years,Yes,No,UAE,
Eastern Hemisphere (EH Region),Corporate/Office/Administration,,1 to 5 years,No,,UAE,
