Location role supports,Primary Role,Primary Role (other),Time with company,Supervise one or more person,Supervise other supervisors,Location,Location (Other)
North America (NA Region),Corporate/Office/Administration,,More than 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
Latin American (LA Region),Corporate/Office/Administration,,Less than 1 year,No,,Argentina,
North America (NA Region),Field Operations,,More than 10 years,Yes,Yes,"Pocola, OK",
North America (NA Region),Sales/Business Development,,1 to 5 years,No,,Greenspoint South,
Operations Services Group (OSG),Corporate/Office/Administration,HR/Safety,Less than 1 year,No,,"Broussard, LA",
North America (NA Region),Field Operations,,1 to 5 years,Yes,Yes,Canada,
Eastern Hemisphere (EH Region),Sales/Business Development,,Less than 1 year,No,,Singapore,
Eastern Hemisphere (EH Region),Engineering,,1 to 5 years,No,,United Kingdom,
North America (NA Region),Sales/Business Development,,More than 10 years,No,,Greenspoint South,
All regions/functions (executive),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
All regions/functions (executive),Corporate/Office/Administration,,Less than 1 year,Yes,Yes,UAE,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
Latin American (LA Region),Field Operations,,1 to 5 years,Yes,No,Bolivia,
Latin American (LA Region),Field Operations,,6 to 10 years,No,,Argentina,
North America (NA Region),Sales/Business Development,,6 to 10 years,No,,Greenspoint South,
North America (NA Region),Engineering,,1 to 5 years,No,,Greenspoint South,
All regions/functions (executive),Corporate/Office/Administration,,6 to 10 years,No,,Houston - Greenspoint North,
Eastern Hemisphere (EH Region),Corporate/Office/Administration,,1 to 5 years,Yes,No,United Kingdom,
Latin American (LA Region),Corporate/Office/Administration,,1 to 5 years,No,,Brazil,
Eastern Hemisphere (EH Region),Corporate/Office/Administration,,1 to 5 years,No,,United Kingdom,
Operations Services Group (OSG),Engineering,,1 to 5 years,No,,Houston - Brittmoore,
Latin American (LA Region),Engineering,International Fleet Services - Revamps,6 to 10 years,No,,Houston - Brittmoore,
North America (NA Region),Engineering,,6 to 10 years,No,,"Broken Arrow, OK",
North America (NA Region),Engineering,,1 to 5 years,No,,Greenspoint South,
Latin American (LA Region),Field Operations,,More than 10 years,Yes,Yes,Argentina,
Latin American (LA Region),,HSE,More than 10 years,Yes,Yes,Argentina,
Latin American (LA Region),Corporate/Office/Administration,,1 to 5 years,No,,Mexico,
North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Indiana, PA",
Eastern Hemisphere (EH Region),Sales/Business Development,,6 to 10 years,Yes,No,Switzerland,
North America (NA Region),Fabrication/Shop,,More than 10 years,Yes,Yes,"Farmington, NM",
Operations Services Group (OSG),Sales/Business Development,,1 to 5 years,No,,"Broken Arrow, OK",
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Brittmoore,
Operations Services Group (OSG),Corporate/Office/Administration,,Less than 1 year,No,,Houston - Brittmoore,
Latin American (LA Region),Corporate/Office/Administration,,6 to 10 years,No,,Mexico,
North America (NA Region),Field Operations,,1 to 5 years,No,,"Brenham, TX",
North America (NA Region),Field Operations,,6 to 10 years,No,,"Houma, LA",
Operations Services Group (OSG),Fabrication/Shop,,1 to 5 years,Yes,Yes,"Broken Arrow, OK",
North America (NA Region),Engineering,,Less than 1 year,No,,"Broken Arrow, OK",
Corporate Services Group (CSG),Corporate/Office/Administration,,6 to 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Sales/Business Development,,Less than 1 year,No,,Houston - Brittmoore,
Latin American (LA Region),Sales/Business Development,,1 to 5 years,Yes,Yes,Argentina,
Latin American (LA Region),Field Operations,,Less than 1 year,Yes,Yes,Bolivia,
North America (NA Region),Field Operations,,More than 10 years,Yes,Yes,"Broussard, LA",
Eastern Hemisphere (EH Region),Fabrication/Shop,,1 to 5 years,No,,Houston - Brittmoore,
North America (NA Region),Corporate/Office/Administration,,6 to 10 years,No,,Houston - Greenspoint North,
Operations Services Group (OSG),Corporate/Office/Administration,,1 to 5 years,Yes,Yes,"Broussard, LA",
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,"Midland, TX",
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,Yes,No,"Gaylord, MI",
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
Latin American (LA Region),Corporate/Office/Administration,,6 to 10 years,No,,Bolivia,
Latin American (LA Region),Sales/Business Development,,More than 10 years,Yes,No,Bolivia,
North America (NA Region),Corporate/Office/Administration,,More than 10 years,Yes,No,"Columbus, TX",
Eastern Hemisphere (EH Region),Field Operations,Construction Management,6 to 10 years,Yes,Yes,Egypt,
North America (NA Region),Engineering,,More than 10 years,No,,"Broken Arrow, OK",
North America (NA Region),Engineering,,Less than 1 year,No,,"Broken Arrow, OK",
North America (NA Region),Sales/Business Development,,1 to 5 years,No,,Greenspoint South,
North America (NA Region),Sales/Business Development,,1 to 5 years,No,,"Oklahoma City, OK",
North America (NA Region),Engineering,,Less than 1 year,No,,"Broken Arrow, OK",
North America (NA Region),Field Operations,,6 to 10 years,Yes,No,"Pocola, OK",
Corporate Services Group (CSG),Corporate/Office/Administration,,More than 10 years,No,,Houston - Greenspoint North,
Corporate Services Group (CSG),Corporate/Office/Administration,,6 to 10 years,Yes,Yes,Houston - Greenspoint North,
North America (NA Region),Field Operations,,More than 10 years,Yes,Yes,"Belle Chasse, LA",
North America (NA Region),Field Operations,,6 to 10 years,No,,"Bridgeport, TX",
Eastern Hemisphere (EH Region),Corporate/Office/Administration,Human Res. Management,1 to 5 years,No,,Nigeria,
Latin American (LA Region),Field Operations,,6 to 10 years,Yes,No,Mexico,
North America (NA Region),Engineering,,Less than 1 year,No,,Houston - Brittmoore,
North America (NA Region),Engineering,Estimating,6 to 10 years,Yes,No,"Broken Arrow, OK",
North America (NA Region),Corporate/Office/Administration,,More than 10 years,No,,Houston - Brittmoore,
