name,url,park,park_url,opened,type,height,length,inversions,speed,duration,longitude,latitude,country
Eastern Hemisphere (EH Region),0,Planificacion  Administracion Oracle Primavera P6,1 to 5 years,Yes,No,UAE,1 to 5 years,0,1 to 5 years,Eastern Hemisphere (EH Region),,0,0
Operations Services Group (OSG),Field Operations,0,6 to 10 years,No,0,Brazil,6 to 10 years,Field Operations,6 to 10 years,Operations Services Group (OSG),,0,0
All regions/functions (executive),Corporate/Office/Administration,0,Less than 1 year,No,0,Houston - Greenspoint North,Less than 1 year,Corporate/Office/Administration,Less than 1 year,All regions/functions (executive),,0,0
Operations Services Group (OSG),Field Operations,0,1 to 5 years,Yes,No,Carrizo  TX,1 to 5 years,Field Operations,1 to 5 years,Operations Services Group (OSG),,0,0
Eastern Hemisphere (EH Region),Field Operations,0,1 to 5 years,No,0,Thailand,1 to 5 years,Field Operations,1 to 5 years,Eastern Hemisphere (EH Region),,0,0
Latin American (LA Region),Field Operations,0,6 to 10 years,No,0,Argentina,6 to 10 years,Field Operations,6 to 10 years,Latin American (LA Region),,0,0
North America (NA Region),Field Operations,0,More than 10 years,Yes,Yes,Bakersfield  CA,More than 10 years,Field Operations,More than 10 years,North America (NA Region),,0,0
North America (NA Region),Sales/Business Development,0,More than 10 years,No,0,Fort Worth  TX,More than 10 years,Sales/Business Development,More than 10 years,North America (NA Region),,0,0
Eastern Hemisphere (EH Region),Engineering,IP Project Management,6 to 10 years,No,0,Greenspoint South,6 to 10 years,Engineering,6 to 10 years,Eastern Hemisphere (EH Region),,0,0
Corporate Services Group (CSG),Corporate/Office/Administration,0,Less than 1 year,Yes,Yes,Houston - Greenspoint North,Less than 1 year,Corporate/Office/Administration,Less than 1 year,Corporate Services Group (CSG),,0,0
North America (NA Region),Field Operations,0,1 to 5 years,No,0,Victoria  TX,1 to 5 years,Field Operations,1 to 5 years,North America (NA Region),,0,0
North America (NA Region),Fabrication/Shop,0,More than 10 years,No,0,0,More than 10 years,Fabrication/Shop,More than 10 years,North America (NA Region),,0,0
North America (NA Region),Field Operations,0,More than 10 years,Yes,No,Wray  CO,More than 10 years,Field Operations,More than 10 years,North America (NA Region),,0,0
Eastern Hemisphere (EH Region),Fabrication/Shop,0,6 to 10 years,Yes,No,Singapore,6 to 10 years,Fabrication/Shop,6 to 10 years,Eastern Hemisphere (EH Region),,0,0
Latin American (LA Region),Fabrication/Shop,0,6 to 10 years,Yes,Yes,Mexico,6 to 10 years,Fabrication/Shop,6 to 10 years,Latin American (LA Region),,0,0
North America (NA Region),Corporate/Office/Administration,0,More than 10 years,No,0,Greenspoint South,More than 10 years,Corporate/Office/Administration,More than 10 years,North America (NA Region),,0,0
Corporate Services Group (CSG),Field Operations,0,Less than 1 year,No,0,Thailand,Less than 1 year,Field Operations,Less than 1 year,Corporate Services Group (CSG),,0,0
North America (NA Region),Corporate/Office/Administration,HSE,More than 10 years,Yes,No,Denver  CO,More than 10 years,Corporate/Office/Administration,More than 10 years,North America (NA Region),,0,0
All regions/functions (executive),Field Operations,0,1 to 5 years,Yes,No,Thailand,1 to 5 years,Field Operations,1 to 5 years,All regions/functions (executive),,0,0
North America (NA Region),Field Operations,0,More than 10 years,No,0,Arcadia  LA,More than 10 years,Field Operations,More than 10 years,North America (NA Region),,0,0
Latin American (LA Region),Fabrication/Shop,0,1 to 5 years,Yes,No,Mexico,1 to 5 years,Fabrication/Shop,1 to 5 years,Latin American (LA Region),,0,0
North America (NA Region),Corporate/Office/Administration,0,1 to 5 years,No,0,Houston - Greenspoint North,1 to 5 years,Corporate/Office/Administration,1 to 5 years,North America (NA Region),,0,0
North America (NA Region),Corporate/Office/Administration,0,1 to 5 years,No,0,Houston - Greenspoint North,1 to 5 years,Corporate/Office/Administration,1 to 5 years,North America (NA Region),,0,0
Latin American (LA Region),Field Operations,0,1 to 5 years,Yes,Yes,Mexico,1 to 5 years,Field Operations,1 to 5 years,Latin American (LA Region),,0,0
North America (NA Region),Corporate/Office/Administration,0,1 to 5 years,No,0,Mexico,1 to 5 years,Corporate/Office/Administration,1 to 5 years,North America (NA Region),,0,0
Corporate Services Group (CSG),Field Operations,Training,More than 10 years,No,0,Houston - Brittmoore,More than 10 years,Field Operations,More than 10 years,Corporate Services Group (CSG),,0,0
Eastern Hemisphere (EH Region),Engineering,Logistics/Facility Maintenance,1 to 5 years,Yes,Yes,Nigeria,1 to 5 years,Engineering,1 to 5 years,Eastern Hemisphere (EH Region),,0,0
Corporate Services Group (CSG),Corporate/Office/Administration,0,6 to 10 years,Yes,Yes,Houston - Greenspoint North,6 to 10 years,Corporate/Office/Administration,6 to 10 years,Corporate Services Group (CSG),,0,0
North America (NA Region),Engineering,0,1 to 5 years,No,0,Columbus  TX,1 to 5 years,Engineering,1 to 5 years,North America (NA Region),,0,0
Latin American (LA Region),Fabrication/Shop,0,1 to 5 years,Yes,Yes,Peru,1 to 5 years,Fabrication/Shop,1 to 5 years,Latin American (LA Region),,0,0
Latin American (LA Region),0,Coordinador QHSE,1 to 5 years,Yes,No,Mexico,1 to 5 years,0,1 to 5 years,Latin American (LA Region),,0,0
Eastern Hemisphere (EH Region),Field Operations,0,1 to 5 years,Yes,Yes,Indonesia,1 to 5 years,Field Operations,1 to 5 years,Eastern Hemisphere (EH Region),,0,0
North America (NA Region),Field Operations,0,1 to 5 years,No,0,Brookwood  AL,1 to 5 years,Field Operations,1 to 5 years,North America (NA Region),,0,0
All regions/functions (executive),Field Operations,0,1 to 5 years,Yes,No,Thailand,1 to 5 years,Field Operations,1 to 5 years,All regions/functions (executive),,0,0
Latin American (LA Region),Field Operations,0,6 to 10 years,Yes,Yes,Mexico,6 to 10 years,Field Operations,6 to 10 years,Latin American (LA Region),,0,0
North America (NA Region),Field Operations,0,6 to 10 years,Yes,No,Houma  LA,6 to 10 years,Field Operations,6 to 10 years,North America (NA Region),,0,0
North America (NA Region),Corporate/Office/Administration,0,More than 10 years,No,0,Houston - Greenspoint North,More than 10 years,Corporate/Office/Administration,More than 10 years,North America (NA Region),,0,0
North America (NA Region),Corporate/Office/Administration,0,1 to 5 years,No,0,Houston - Greenspoint North,1 to 5 years,Corporate/Office/Administration,1 to 5 years,North America (NA Region),,0,0
Latin American (LA Region),Corporate/Office/Administration,0,Less than 1 year,No,0,Argentina,Less than 1 year,Corporate/Office/Administration,Less than 1 year,Latin American (LA Region),,0,0
North America (NA Region),Field Operations,0,More than 10 years,Yes,Yes,Pocola  OK,More than 10 years,Field Operations,More than 10 years,North America (NA Region),,0,0
North America (NA Region),Sales/Business Development,0,1 to 5 years,No,0,Greenspoint South,1 to 5 years,Sales/Business Development,1 to 5 years,North America (NA Region),,0,0
Operations Services Group (OSG),Corporate/Office/Administration,HR/Safety,Less than 1 year,No,0,Broussard  LA,Less than 1 year,Corporate/Office/Administration,Less than 1 year,Operations Services Group (OSG),,0,0
North America (NA Region),Field Operations,0,1 to 5 years,Yes,Yes,Canada,1 to 5 years,Field Operations,1 to 5 years,North America (NA Region),,0,0
Eastern Hemisphere (EH Region),Sales/Business Development,0,Less than 1 year,No,0,Singapore,Less than 1 year,Sales/Business Development,Less than 1 year,Eastern Hemisphere (EH Region),,0,0
Eastern Hemisphere (EH Region),Engineering,0,1 to 5 years,No,0,United Kingdom,1 to 5 years,Engineering,1 to 5 years,Eastern Hemisphere (EH Region),,0,0
North America (NA Region),Sales/Business Development,0,More than 10 years,No,0,Greenspoint South,More than 10 years,Sales/Business Development,More than 10 years,North America (NA Region),,0,0
All regions/functions (executive),Corporate/Office/Administration,0,1 to 5 years,No,0,Houston - Greenspoint North,1 to 5 years,Corporate/Office/Administration,1 to 5 years,All regions/functions (executive),,0,0
All regions/functions (executive),Corporate/Office/Administration,0,Less than 1 year,Yes,Yes,UAE,Less than 1 year,Corporate/Office/Administration,Less than 1 year,All regions/functions (executive),,0,0
North America (NA Region),Corporate/Office/Administration,0,1 to 5 years,No,0,Houston - Greenspoint North,1 to 5 years,Corporate/Office/Administration,1 to 5 years,North America (NA Region),,0,0
